Symbol,Quantity,CostBasis,Stage,Metal,Country
AG,638,7594.99,Producer,Silver,Mexico
AGXPF,32342,24015.26,Explorer,Silver,Peru
WRLGF,25929,18833.21,Explorer,Gold,Canada
JAGGF,2965,14558.14,Producer,Gold,Brazil
TSKFF,13027,13857.41,Explorer,Gold,Canada
SMDRF,7072,6939.18,Developer,Silver,Mexico
GSVRF,9049,2415.31,Producer,Silver,Mexico
ITRG,2072,7838.13,Explorer,Gold,Canada
SMAGF,8335,9928.39,Developer,Gold,Unknown
LOMLF,24557,5006.76,Explorer,Gold,Fiji
LUCMF,7079,8550.49,Explorer,Gold,Canada
BORMF,5172,5540.99,Explorer,Gold,Canada
EXNRF,11749,3242.97,Developer,Silver,Mexico
JZRIF,19841,5959.25,Explorer,Gold,Canada